title_source	id	start 	aat_types	title
British Library	041-001102330	1150	300000809	Northern England
British Library	040-001102881	0675	300000809	Northern England
British Library	041-001103014	0700	300000809	Northern England
British Library	041-001103847	1100	300000809	Durham, England
British Library	040-001617742	1196	300000809	Beverlaco, Yorkshire ; Dukmanton, Derbyshire ; Ettewelle, Derbyshire ; Leicester, Leicestershire ; Salopesburi, Shropshire ; Shrewsbury, Shropshire
British Library	040-001618051	1241	300000809	Durham, England ; Stanlegh, Derbyshire
British Library	040-001618052	1230	300000809	Jezemue, Northumberland ; Novo Castello, Northumberland
British Library	040-001618053	1395	300000809	Berewico super Tweda, Northumberland
British Library	040-001618054	1449	300000809	Durham, England ; Weardale Forest, England
British Library	040-001618055	1394	300000809	Berewyke, Northumberland ; Northumberland, England
British Library	040-001618056	1280	300000809	Jesemuth, Northumberland ; Novo Castro, Northumberland
British Library	040-001618082	1200	300000809	Cavereswall, Staffordshire ; Hetyleia, Shropshire
British Library	040-001618352	1437	300000809	Derbyshire, England ; Gloucestershire, England ; Herefordshire, England
British Library	040-001618507	1399	300000809	Blakwelle, Derbyshire ; Durham, England ; Normanton, Derbyshire ; Normanton, Derbyshire ; Pinxton, Derbyshire ; Pynkeston, Derbyshire
British Library	040-001951042	1369	300000809	048-001632174 ; 048-002958609 ; Aldbourn, Wiltshire ; Bamburgh, Northumberland ; Boston, Lincolnshire ; Bristol, Gloucestershire ; Calais, France ; Chester, Cheshire ; Cologne, Germany ; Dunstanburgh, Northumberland ; Eltham, Kent ; Genoa, Italy ; Havering atte Bower, Essex ; Hertford, Hertfordshire ; Houghton St Giles, Norfolk ; Kent, England ; King's Langley, Hertfordshire ; Lincolnshire, England ; London, United Kingdom ; Lucca, Italy ; Lynsted, Kent ; Mantes, France ; Newcastle-upon-Tyne, Northumberland ; Old Romney, Kent ; Portersfee, Essex ; Romford, Essex ; Skirbeck, Lincolnshire ; Spain, Europe ; St Albans, England ; St Omer, Pas-de-Calais ; Staincliff in Craven, West Riding of Yorkshire ; Suffolk, England ; Wallingford, Berkshire ; Westminster, England ; Worcestershire, England ; Yorkshire, England
British Library	040-001951547	1100	300000809	Hereford, Herefordshire ; Hibernia, Europe ; London, United Kingdom ; Normandy, France ; Scotia, Scotland ; Shropshire, England ; Westminster, England
British Library	040-001952890	1175	300000809	Northern England
British Library	040-001953777	1200	300000809	Bernay, Normandy ; Billingham, Durham ; Bolton, Edlingham ; Brancepeth, Durham ; Coldingham, Berwickshire ; County Durham, England ; Durham, England ; Eastrington, Yorkshire ; Edlingham, Northumberland ; Edrom, Berwickshire ; Elwick, Northumberland ; Greatham, Durham ; Heworth, Durham ; Hilton, Durham ; Holtby, Yorkshire ; Howden, Yorkshire ; Muggleswick, Durham ; Norhamshire, Northumberland ; Normanton, Nottinghamshire ; Northallerton, North Riding of Yorkshire ; Northumberland, England ; Preston, Durham ; River Tyne, United Kingdom ; Selby, Yorkshire ; Sherburn, Durham ; Simonside, Durham ; Skipwith, East Riding of Yorkshire ; Spennymoor, Durham ; Wolviston, Durham
British Library	040-001953989	1035	300000809	Berwick, Lympne ; Otterpoole, Kent ; River Stour, Kent ; Stanford, Kent
British Library	040-001954023	1499	300000809	Burton-on-Trent, England ; Horton, Shropshire ; Malinslee, Shropshire
British Library	040-001954115	1292	300000809	Brockton, Longford ; Eyton-upon-the-wild-moors, Shropshire ; Horton, Shropshire ; Ingwardine, Shropshire ; Lawley, Shropshire ; Malinslee, Shropshire ; Ruthall in Prior's Ditton, Shropshire ; Sutton, Market Drayton
British Library	040-001954116	1204	300000809	Chetton, Shropshire
British Library	040-001954460	1219	300000809	Allerdale, Cumberland ; Bridekirk
British Library	040-001954461	1220	300000809	Allerdale, Cumberland ; Bridekirk
British Library	036-001954462	1115	300000809	Barnard Castle, Durham ; Bolam, Durham ; Carlisle, Cumberland ; Denton, Durham ; Gainford, Durham ; Houghton-le-Side, Durham ; Middleton-in-Teesdale, Durham ; Stainton, Durham ; Stockleigh, Durham
British Library	040-001954470	1238	300000809	Hartlepool, Durham
British Library	040-001954471	1262	300000809	Aislaby, Durham ; Castle Eden, Durham ; Hart, Durham ; Hartlepool, Durham ; Hartness, Durham ; Seaton-Carew, Durham ; Stranton, Durham ; Trimdon, Durham
British Library	040-001954472	1422	300000809	Boldron, North Riding of Yorkshire ; Haverbrack, Westmorland ; Lancashire, England
British Library	040-001954474	1256	300000809	Lochmaben, Dumfriesshire ; Teviotdale, Scotland
British Library	040-001954582	1325	300000809	Aylestone, Leicestershire ; Tong, Shropshire
British Library	032-001985272	1260	300000809	Hereford, Herefordshire
British Library	032-001985961	1169	300000809	Durham, England ; Lincoln, Lincolnshire
British Library	032-002017514	1200	300000809	Ireland, Europe ; Treago Castle, Herefordshire
British Library	032-002017645	0690	300000809	Monk Wearmouth, Durham
British Library	040-002021971	1339	300000809	Caus, Shropshire ; Mensterleye, Shropshire
British Library	040-002025839	1375	300000809	Burton-Pedwardine, Lincolnshire ; Clipston, Northamptonshire ; Friskney, Lincolnshire ; Kendal, Westmorland ; South Warnborough, Hampshire
British Library	040-002026388	1400	300000809	Great Musgrave, Westmorland
British Library	040-002026409	1401	300000809	Blakesley, Northamptonshire ; Castle Ashby, Northamptonshire ; Greens Norton, Northamptonshire ; Warkworth, Northumberland
