CREATED,UPDATED,PRECISION,ACCURACY,CAP_SCALE,X,Y,COMPILER,DES_REF,DES_TITLE,DES_TYPE,DESIGNATED,AMENDED,LINK,LEGISLATIO,CLASS,LOCAL_AUTH,PARISH,CATEGORY,Shape_Leng,Shape_Area,AREA
2001-01-01,2016-10-11,Within 5m,Location Digitised on OS MasterMap with Aerial Photography,2500,268814,659364,Historic Environment Scotland,SM90038,BOTHWELL CASTLE,Scheduled Monument,1920-04-30,2016-10-11,http://portal.historicenvironment.scot/designation/SM90038,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,South Lanarkshire,Bothwell,Secular: castle,575.762665602,22235.068208,22235.068208
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,304922,659360,Historic Environment Scotland,SM1165,"Camilty Hill,enclosure,Harburn",Scheduled Monument,1938-10-18,,http://portal.historicenvironment.scot/designation/SM1165,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,West Lothian,Mid Calder,Prehistoric domestic and defensive: enclosure (domestic or defensive),73.410141678,428.834891013,428.834891013
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,205962,659291,Historic Environment Scotland,SM7115,"Thom's Water Cuts, aqueduct (drain), Scalpsie to Loch Quien",Scheduled Monument,1998-01-05,,http://portal.historicenvironment.scot/designation/SM7115,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,North Bute,Industrial: inland water,1822.9141261,18423.4003505,18423.4003505
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,305027,659243,Historic Environment Scotland,SM1933,"Camilty Hill,Roman fortlet,Castle Greg",Scheduled Monument,1924-02-23,1972-12-26,http://portal.historicenvironment.scot/designation/SM1933,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,West Lothian,Mid Calder,Roman: fortlet,633.239759896,25225.4648523,25225.4648523
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,386276,659237,Historic Environment Scotland,SM5219,"Auchencrow Mains,enclosure and ditches 1000m SSE of",Scheduled Monument,1991-08-22,,http://portal.historicenvironment.scot/designation/SM5219,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Coldingham,Prehistoric domestic and defensive: enclosure (domestic or defensive),1310.26938005,103943.208602,103943.208602
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,362250,659023,Historic Environment Scotland,SM361,"Mutiny Stones,long cairn 1100m NNW of Byrecleugh",Scheduled Monument,1927-03-31,1970-07-29,http://portal.historicenvironment.scot/designation/SM361,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Longformacus,Prehistoric ritual and funerary: long cairn,363.97882298,8214.04471867,8214.04471867
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,322292,659008,Historic Environment Scotland,SM5609,Ravensneuk Castle,Scheduled Monument,1993-02-17,,http://portal.historicenvironment.scot/designation/SM5609,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Midlothian,Penicuik,Secular: tower,159.700584127,1545.81242535,1545.81242535
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,190625,659005,Historic Environment Scotland,SM3650,"Sliabh nan Dearc,enclosure 570m E of Cnoc Moine Raibeirt",Scheduled Monument,1975-04-09,,http://portal.historicenvironment.scot/designation/SM3650,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Saddell and Skipness,Prehistoric domestic and defensive: enclosure (domestic or defensive),183.729571428,1922.2531316,1922.2531316
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,342432,658997,Historic Environment Scotland,SM5653,"Falla Luggie Tower,towerhouse",Scheduled Monument,1993-03-03,,http://portal.historicenvironment.scot/designation/SM5653,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Midlothian,Fala and Soutra,Secular: tower,195.193749865,3031.86602005,3031.86602005
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,394563,658932,Historic Environment Scotland,SM4550,"Bastleridge,barrow 1250m E of",Scheduled Monument,1988-07-28,,http://portal.historicenvironment.scot/designation/SM4550,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Ayton,Prehistoric ritual and funerary: barrow,126.557326083,996.884171025,996.884171025
