lon	lat	id	title	start	ccodes	aat_types	types	title_source
-2.052603051	55.78636933	1003657	Halidon Hill settlement	07/03/1977	GB	300004790	listed building	Historic England
-2.042100045	55.78551154	1003658	Camphill settlement	30/08/1977	GB	300004790	listed building	Historic England
-2.02655116	55.77944178	1416290	Monastic site identified as St Leonard's Nunnery	13/03/2014	GB	300004790	listed building	Historic England
-2.0024904	55.77608245	1015521	Spades Mire linear earthwork and section of rig and furrow	28/03/1949	GB	300004790	listed building	Historic England
-2.015370128	55.77595091	1019902	Medieval church and graveyard 330m north west of Berwick Castle	09/05/2001	GB	300004790	listed building	Historic England
-2.01134038	55.77389688	1015520	Enclosure castle, two 16th century gun turrets and an early 17th century house	12/07/1965	GB	300004790	listed building	Historic England
-1.998241892	55.76970067	1015968	The medieval and post-medieval fortifications at Berwick upon Tweed	22/12/1960	GB	300004790	listed building	Historic England
-2.008142239	55.7678267	1003654	Berwick Bridge	30/11/1925	GB	300004790	listed building	Historic England
-2.053344956	55.75682957	1006495	Chester Crane camp	01/01/1900	GB	300004790	listed building	Historic England
-2.001588372	55.74825199	1003655	Springhill Roman camp	02/01/1900	GB	300004790	listed building	Historic England
-2.110846412	55.74438196	1006435	Horncliffe fort	03/01/1900	GB	300004790	listed building	Historic England
-2.058099941	55.7390479	1006422	Murton High Crags settlements	29/04/1977	GB	300004790	listed building	Historic England
-2.15029178	55.72113196	1009659	Norham Castle tower keep castle	09/10/1981	GB	300004790	listed building	Historic England
-2.161971278	55.71928795	1006550	Norham Cross	28/11/1932	GB	300004790	listed building	Historic England
-2.11198461	55.68677296	1006622	Duddo stone circle, 800m north east of Grindonrigg	30/11/1925	GB	300004790	listed building	Historic England
-1.80776987	55.68606009	1015632	Early medieval farmstead at Green Shiel, Holy Island	03/07/1997	GB	300004790	listed building	Historic England
-1.94557257	55.68578097	1006570	Haggerston dovecote	01/01/1900	GB	300004790	listed building	Historic England
-2.188088218	55.68429158	1018445	Twizel medieval tower house and village, post-medieval folly and garden	15/01/1999	GB	300004790	listed building	Historic England
-2.184881756	55.68304668	1020743	Twizel Bridge	17/12/1929	GB	300004790	listed building	Historic England
-2.0998786	55.67677385	1018443	Duddo Tower	22/01/1964	GB	300004790	listed building	Historic England
-2.137391808	55.6759602	1006437	Enclosure on Fadden Hill	15/08/1974	GB	300004790	listed building	Historic England
-1.798772294	55.67092618	1014571	The Palace' medieval house and Tudor supply base, Holy Island village	01/08/1996	GB	300004790	listed building	Historic England
-1.800934622	55.66896524	1011650	Lindisfarne Priory pre-Conquest monastery and post-Conquest Benedictine cell	09/10/1981	GB	300004790	listed building	Historic England
-1.781758781	55.66885647	1006434	Lime kilns	21/06/1973	GB	300004790	listed building	Historic England
-1.799378131	55.66825262	1014484	Boundary cross 170m south west of Herring House	01/07/1996	GB	300004790	listed building	Historic England
-1.795754451	55.6681697	1014733	The Fort on the Heugh and underlying midden	12/02/1953	GB	300004790	listed building	Historic England
-1.805886224	55.66783698	1014485	Medieval chapel and associated building on St Cuthbert's Isle	01/07/1996	GB	300004790	listed building	Historic England
-1.863860982	55.6601382	1015631	Monastic Grange at Fenham	25/01/1962	GB	300004790	listed building	Historic England
-2.233216088	55.65770837	1006508	Cornhill Castle	05/06/1961	GB	300004790	listed building	Historic England
-2.072451775	55.65680429	1002948	Hazely Hill round cairn	25/07/1973	GB	300004790	listed building	Historic England
-2.224102481	55.65524125	1006409	Enclosed settlement, 620m south east of Cornhill Castle	25/04/1980	GB	300004790	listed building	Historic England
-1.907679116	55.65125206	1018444	Kyloe tower house, East Kyloe	19/01/1968	GB	300004790	listed building	Historic England
-1.948905589	55.64956216	1006529	Earthwork 370yds (340m) E of Low Stead	15/06/1946	GB	300004790	listed building	Historic England
-2.120281167	55.64735523	1011644	Etal Castle tower house	26/11/1932	GB	300004790	listed building	Historic England
-1.919297852	55.64349867	1006479	Kyloe Hills promontory fort	16/01/1968	GB	300004790	listed building	Historic England
-2.286901254	55.6420573	1014496	St Giles's medieval chapel and burial ground, Wark on Tweed	01/07/1996	GB	300004790	listed building	Historic England
-2.281332718	55.64177389	1013100	Wark Castle motte and bailey castle and artillery fort	26/11/1932	GB	300004790	listed building	Historic England
-1.873545683	55.64063801	1006569	Buckton dovecote	05/12/1960	GB	300004790	listed building	Historic England
-2.185601626	55.63950412	1002906	The King's Stone NW of Crookham Westfield Farm	28/11/1932	GB	300004790	listed building	Historic England
-1.898409452	55.63870015	1006510	Buckton Moor North camp	09/04/1951	GB	300004790	listed building	Historic England
-2.055052023	55.63367364	1020746	Ford Colliery 920m north east of Blackcrag Wood	03/09/2002	GB	300004790	listed building	Historic England
-1.890311536	55.63177547	1006511	Buckton Moor South camp	09/04/1951	GB	300004790	listed building	Historic England
-2.090727326	55.63033732	1018372	Parson's Tower	20/05/1963	GB	300004790	listed building	Historic England
-2.046948793	55.62693929	1006554	Two incised rocks on Broom Ridge, Hunter's Moor		GB	300004790	listed building	Historic England
-2.038659748	55.62693007	1418572	Rock art at Goatscrag, 200m north west of Routin Lynn	07/04/2014	GB	300004790	listed building	Historic England
-2.037899834	55.62674845	1417671	Rock art including four animal carvings at Goatscrag rock shelter, 155m north west of Routin Lynn	07/04/2014	GB	300004790	listed building	Historic England
-2.02849278	55.62448849	1006601	Roughting Linn camp	01/01/1900	GB	300004790	listed building	Historic England
-2.027269398	55.62423844	1006600	Cup and ring marked rocks near Roughting Linn camp	02/01/1900	GB	300004790	listed building	Historic England
-2.113434605	55.62259052	1006430	Circular enclosure W of Second Linthaugh	03/01/1900	GB	300004790	listed building	Historic England
-2.096376516	55.62198974	1006423	Ford Westfield settlement	10/03/1977	GB	300004790	listed building	Historic England
-2.046718501	55.62166589	1006522	Fordwood camp, Broomridge Dean	18/07/1946	GB	300004790	listed building	Historic England
