types	title	id	title_source	start	ccodes	aat_types
Archaeology	Langley Barony lead mines, Haydon Bridge	28308	Historic England	1900	GB	300000809
Archaeology	Circular enclosure west of Second Linthaugh	30095	Historic England	1900	GB	300000809
Building or structure	Pair of bastles, north-west of the Green at Chesterwood, Haydon Bridge	49590	Historic England	1900	GB	300000809
Archaeology	Settlement on the east slope of The Bell	28303	Historic England	1900	GB	300000809
Archaeology	Settlement on north slope of Yeavering Bell	28190	Historic England	1900	GB	300000809
Archaeology	Flodden camp	28416	Historic England	1900	GB	300000809
Archaeology	Chester's Hill camps	28751	Historic England	1900	GB	300000809
Archaeology	Buttony Wood camp, Horton Moor	27741	Historic England	1900	GB	300000809
Archaeology	Hepburn Crags camp	31649	Historic England	1900	GB	300000809
Archaeology	Newminster Abbey, Mitford Road	27631	Historic England	1900	GB	300000809
Archaeology	Ellsnook round barrow, 175 metres north east of Heiferlaw Bridge	30082	Historic England	1900	GB	300000809
Building or structure	Bondgate Tower, Bondgate Within	49777	Historic England	1900	GB	300000809
Archaeology	Low Throston deserted medieval village	27396	Historic England	1900	GB	300000809
Archaeology	Enclosed settlement, 620 metres south east of Cornhill Castle	28760	Historic England	1900	GB	300000809
Building or structure	Capheaton tilery, Mirlaw House	46430	Historic England	1900	GB	300000809
Archaeology	Romano-British settlements east of Yeavering Bell containing the Old Sheepfold settlement and settlements to the west and south of it	28307	Historic England	1900	GB	300000809
Archaeology	Settlement on north east slope of Yeavering Bell	28304	Historic England	1900	GB	300000809
Archaeology	Kyloe camp	27523	Historic England	1900	GB	300000809
Archaeology	Camp in Oakwood, south east of Plenmeller village	27521	Historic England	1900	GB	300000809
Archaeology	Earthwork 370 yards (340 metres) east of Low Stead	27518	Historic England	1900	GB	300000809
Archaeology	Two incised rocks on Broom Ridge, Hunter's Moor	28411	Historic England	1900	GB	300000809
Archaeology	Haggerston dovecote	30084	Historic England	1900	GB	300000809
Building or structure	Cocklaw Tower, East Cocklaw	49429	Historic England	1900	GB	300000809
Archaeology	Corbridge (Corstopitum) Roman station	28180	Historic England	1900	GB	300000809
Archaeology	Enclosure on Fadden Hill	28305	Historic England	1900	GB	300000809
Archaeology	Two cairn cemeteries west of Willie Law	27525	Historic England	1900	GB	300000809
Archaeology	Settlement, field systems and terraces on the south east slope of Yeavering Bell	27969	Historic England	1900	GB	300000809
Archaeology	Defended settlement, 1.05 kilometres north west of North Farm	27857	Historic England	1900	GB	300000809
Archaeology	Remains of medieval bridge, Chollerford	27737	Historic England	1900	GB	300000809
Archaeology	Roughting Linn camp	28293	Historic England	1900	GB	300000809
Archaeology	C18 water mill at Grasslees	27749	Historic England	1900	GB	300000809
Building or structure	Walker's Pottery	46419	Historic England	1900	GB	300000809
Archaeology	Settlement 500 yards (460 metres) south west of White Law	28756	Historic England	1900	GB	300000809
Archaeology	Settlement north of White Law	30093	Historic England	1900	GB	300000809
Archaeology	Cornhill Castle	28078	Historic England	1900	GB	300000809
Archaeology	Incised rocks, 500 metres north west of Doddington Dean Wood	29969	Historic England	1900	GB	300000809
Archaeology	Greaves Ash camp	27960	Historic England	1900	GB	300000809
Archaeology	Enclosures on Meggrim's Knowe	28182	Historic England	1900	GB	300000809
Building or structure	Backbarrow Ironworks	46344	Historic England	1900	GB	300000809
Archaeology	Backbarrow Ironworks	32075	Historic England	1900	GB	300000809
Archaeology	Brough Castle and Brough (Verterae) Roman fort and civil settlement	43862	Historic England	1900	GB	300000809
Building or structure	The Monks Oven, Calder Abbey	50310	Historic England	1900	GB	300000809
Building or structure	Calder Abbey	48039	Historic England	1900	GB	300000809
Archaeology	Settlement on west slope of The Tongue, Troutbeck Park	36873	Historic England	1900	GB	300000809
Archaeology	Hadrian's Wall and vallum in wall mile 66, Stanwix Bank to Stainton	32064	Historic England	1900	GB	300000809
Archaeology	Nibthwaite furnace (millpond)	39866	Historic England	1900	GB	300000809
Archaeology	The Old Kiln, Wetheriggs Pottery	38511	Historic England	1900	GB	300000809
Archaeology	Castle Hill	39192	Historic England	1900	GB	300000809
Building or structure	Burneside Hall, tower and gatehouse, Hall Road, Burneside	46347	Historic England	1900	GB	300000809
Archaeology	Burneside Hall, pele tower and gatehouse, Hall Road, Burneside	30838	Historic England	1900	GB	300000809
Archaeology	Beckfoot Roman fort	38504	Historic England	1900	GB	300000809
Archaeology	Village settlement and circular enclosure on Lazonby Fell	33626	Historic England	1900	GB	300000809
Archaeology	Cairns on Foul Scrow	32504	Historic England	1900	GB	300000809
Archaeology	Settlement 25 metres south east of Gatra	33632	Historic England	1900	GB	300000809
Building or structure	Hazelslack Tower	46342	Historic England	1900	GB	300000809
Archaeology	Roman fortlet 40 metres SSW of Castle Fields	31955	Historic England	1900	GB	300000809
Archaeology	Romano-British enclosed settlement, 800 metres north west of East Bolton	27760	Historic England	1900	GB	300000809
Archaeology	Multivallate defended settlement, 350m north-east of Wood House	27984	Historic England	1900	GB	300000809
Archaeology	Barnard Castle: ringwork, shell keep castle, chapel and dovecote	27615	Historic England	1900	GB	300000809
Archaeology	Medieval shieling south of Cow Green	39871	Historic England	1900	GB	300000809
Archaeology	Bowl barrow 20 metres east of Ravens' Gill	32301	Historic England	1900	GB	300000809
Archaeology	Medieval fishponds and moat at Denton Hall	37951	Historic England	1900	GB	300000809
Building or structure	Millom Castle (ruined portions)	46330	Historic England	1900	GB	300000809
Building or structure	Arnside Tower	48044	Historic England	1900	GB	300000809
Archaeology	Arnside Tower	38620	Historic England	1900	GB	300000809
Archaeology	Beetham Hall (curtain wall and uninhabited portion)	32854	Historic England	1900	GB	300000809
Building or structure	Beetham Hall (curtain wall and uninhabited portion)	49769	Historic England	1900	GB	300000809
Archaeology	Three cross dykes on Middle Hill	30218	Historic England	1900	GB	300000809
Building or structure	Ruins of Whorlton Castle Undercroft, Castle Bank	47092	Historic England	1900	GB	300000809
Building or structure	Whorlton Castle Gatehouse, Castle Bank	47090	Historic England	1900	GB	300000809
Archaeology	Roman camp 200 metres west of Galleygill Bridge	39188	Historic England	1900	GB	300000809
Archaeology	Peter of Chester's Chapel, Whalley Cistercian Abbey	31556	Historic England	1900	GB	300000809
Building or structure	Whalley Abbey (west range)	46549	Historic England	1900	GB	300000809
Archaeology	Defended settlement, Romano-British settlement and field system, 100 metres south and east of Jenny's Lantern	27540	Historic England	1900	GB	300000809
Archaeology	A moated site 100m east of St Mary Magdalene's Church	32131	Historic England	1900	GB	300000809
Archaeology	Benthall round cairn	27434	Historic England	1900	GB	300000809
Archaeology	St Ebba's chapel and monastic site	27664	Historic England	1900	GB	300000809
Archaeology	Round cairn, 220m north of Tom's Crags	31683	Historic England	1900	GB	300000809
Conservation area	Bishop Auckland	3017	Historic England	1900	GB	300000809
Archaeology	Large univallate hillfort on Ingleborough Hill	29650	Historic England	1900	GB	300000809
Archaeology	Romano-British farmstead 850 metres south of Troughend	27550	Historic England	1900	GB	300000809
Archaeology	Southern ring cairn on Coldsmouth Hill	27876	Historic England	1900	GB	300000809
Archaeology	Northern ring cairn on Coldsmouth Hill	30337	Historic England	1900	GB	300000809
Archaeology	Romano-British farmstead, 175 metres south of Cockpit Well	30326	Historic England	1900	GB	300000809
Conservation area	Hexham	2726	Historic England	1900	GB	300000809
Battlefield	Battle of Boroughbridge	24509	Historic England	1900	GB	300000809
Park and garden	High Royds Hospital, Aireborough	26157	Historic England	1900	GB	300000809
Building or structure	Prebends Bridge, Durham and Framwellgate	49893	Historic England	1900	GB	300000809
Archaeology	Romano-British enclosed settlement, 720m north east of Catcleugh	30004	Historic England	1900	GB	300000809
Archaeology	Romano-British farmstead, 520 metres north east of Birtley Shields	28782	Historic England	1900	GB	300000809
Archaeology	Round barrow in Harland's Plantation	31386	Historic England	1900	GB	300000809
Conservation area	Fleetwood	8918	Historic England	1900	GB	300000809
Conservation area	Church Street, Hartlepool	2180	Historic England	1900	GB	300000809
Conservation area	East Boldon, South Tyneside	8777	Historic England	1900	GB	300000809
Conservation area	Old Sunderland	9060	Historic England	1900	GB	300000809
Conservation area	Brierfield Mills	740	Historic England	1900	GB	300000809
Park and garden	Swinton Castle	24803	Historic England	1900	GB	300000809
Park and garden	Woodfold Park	26106	Historic England	1900	GB	300000809
Park and garden	Whinburn	26145	Historic England	1900	GB	300000809
Conservation area	Headland, Hartlepool	2184	Historic England	1900	GB	300000809
Conservation area	Park, Hartlepool	2185	Historic England	1900	GB	300000809
Conservation area	Botchergate, Carlisle	8336	Historic England	1900	GB	300000809
Archaeology	Grange and chapel, Bear Park	26388	Historic England	1900	GB	300000809
Archaeology	Lanchester Roman fort (Longovicium)	26271	Historic England	1900	GB	300000809
Conservation area	Acklam Hall, Acklam	8392	Historic England	1900	GB	300000809
Conservation area	Corporation Park Blackburn	7440	Historic England	1900	GB	300000809
Conservation area	Sunniside	9065	Historic England	1900	GB	300000809
Conservation area	Berwick-upon-Tweed	1333	Historic England	1900	GB	300000809
Conservation area	Middlesbrough Historic Quarter	8395	Historic England	1900	GB	300000809
Conservation area	Swaledale and Arkengarthdale barns and walls	614	Historic England	1900	GB	300000809
Conservation area	Littondale barns and walls	606	Historic England	1900	GB	300000809
Conservation area	Carnforth	6090	Historic England	1900	GB	300000809
Conservation area	Cleadon, South Tyneside	8775	Historic England	1900	GB	300000809
Conservation area	Appleby, Appleby	7090	Historic England	1900	GB	300000809
Conservation area	Newsham	7295	Historic England	1900	GB	300000809
Conservation area	Tweedmouth	2757	Historic England	1900	GB	300000809
Conservation area	Accrington Town Centre	408197	Historic England	1900	GB	300000809
Battlefield	Battle of Newburn Ford	24542	Historic England	1900	GB	300000809
Park and garden	Allerton Park	26153	Historic England	1900	GB	300000809
Conservation area	Burton in Kendal	2786	Historic England	1900	GB	300000809
Park and garden	St John's Cemetery, Newcastle upon Tyne	25384	Historic England	1900	GB	300000809
Park and garden	Capernwray Hall	26105	Historic England	1900	GB	300000809
Park and garden	Seaton Delaval	24712	Historic England	1900	GB	300000809
Park and garden	Valley Gardens, Saltburn	25926	Historic England	1900	GB	300000809
Archaeology	Remains of the Stockton and Darlington Railway	26272	Historic England	1900	GB	300000809
Building or structure	Church of All Saints, Sockburn Lane	48153	Historic England	1900	GB	300000809
Archaeology	Tower Tye ringwork	39885	Historic England	1900	GB	300000809
Archaeology	Round barrow 500m SSW of Coney Hill Farm	37456	Historic England	1900	GB	300000809
Archaeology	Low Chibburn medieval preceptory, C16 house and World War II pillbox	28774	Historic England	1900	GB	300000809
Archaeology	Roman period native enclosed settlement and medieval sheiling 165 metres north east of Dunsdale	31675	Historic England	1900	GB	300000809
Building or structure	Keld Heads lead smeltmill and mine complex, Preston-under-Scar	48632	Historic England	1900	GB	300000809
Archaeology	Brownrigg North tower 21b, 830 metres north west of Canonby Hall, part of the Roman frontier defences along the Cumbrian coast	33320	Historic England	1900	GB	300000809
Archaeology	Cairnfield, enclosures, boulder walling, hollow way and carved rocks towards edge of Snowden Carr centred at 370m south east of Crag House	31172	Historic England	1900	GB	300000809
Archaeology	Roman period native enclosed farmstead 320 metres north west of Southernknowe	30340	Historic England	1900	GB	300000809
Archaeology	Round barrow 520 metres WNW of Quarry Cottage	27879	Historic England	1900	GB	300000809
Archaeology	Brampton Old Church Roman fort and the medieval Church of St Martin	40110	Historic England	1900	GB	300000809
Building or structure	Dob Park Lodge, Dob Park Lane	47106	Historic England	1900	GB	300000809
Archaeology	Round cairn in Mollen Wood, 640 metres east of Parkgate Bridge	45126	Historic England	1900	GB	300000809
