Northern England
Northern England
Northern England
"Durham, England"
"Beverlaco, Yorkshire "
" Dukmanton, Derbyshire "
" Ettewelle, Derbyshire "
" Leicester, Leicestershire "
" Salopesburi, Shropshire "
" Shrewsbury, Shropshire"
"Durham, England"
"Stanlegh, Derbyshire"
"Jezemue, Northumberland"
"Novo Castello, Northumberland"
"Jezemue, Northumberland "
"Berewico super Tweda, Northumberland"
"Durham, England"
"Weardale Forest, England"
"Berewyke, Northumberland"
"Northumberland, England"
"Jesemuth, Northumberland"
"Novo Castro, Northumberland"
"Cavereswall, Staffordshire"
"Hetyleia, Shropshire"
"Derbyshire, England"
"Gloucestershire, England"
"Herefordshire, England"
"Blakwelle, Derbyshire"
"Durham, England"
"Normanton, Derbyshire"
"Pinxton, Derbyshire"
"Pynkeston, Derbyshire"
"Aldbourn, Wiltshire"
"Bamburgh, Northumberland"
"Boston, Lincolnshire"
"Bristol, Gloucestershire"
"Calais, France"
"Chester, Cheshire"
"Cologne, Germany "
"Dunstanburgh, Northumberland"
"Eltham, Kent"
"Genoa, Italy"
"Havering atte Bower, Essex"
"Hertford, Hertfordshire"
"Houghton St Giles, Norfolk"
"Kent, England"
"King's Langley, Hertfordshire"
"Lincolnshire, England"
"London, United Kingdom "
"Lucca, Italy"
"Lynsted, Kent"
"Mantes, France"
"Newcastle-upon-Tyne, Northumberland "
"Old Romney, Kent"
"Portersfee, Essex "
"Romford, Essex"
"Skirbeck, Lincolnshire"
"Spain, Europe"
"St Albans, England"
"St Omer, Pas-de-Calais"
"Staincliff in Craven, West Riding of Yorkshire"
"Suffolk, England"
"Wallingford, Berkshire"
"Westminster, England"
"Worcestershire, England"
"Yorkshire, England"
"Hereford, Herefordshire"
"Hibernia, Europe"
"London, United Kingdom"
"Normandy, France"
"Scotia, Scotland"
"Shropshire, England"
"Westminster, England"
Northern England
"Bernay, Normandy"
"Billingham, Durham"
"Bolton, Edlingham"
"Brancepeth, Durham"
"Coldingham, Berwickshire"
"County Durham, England"
"Durham, England"
"Eastrington, Yorkshire"
"Edlingham, Northumberland"
"Edrom, Berwickshire"
"Elwick, Northumberland"
"Greatham, Durham"
"Heworth, Durham"
"Hilton, Durham"
"Holtby, Yorkshire"
"Howden, Yorkshire"
"Muggleswick, Durham"
"Norhamshire, Northumberland"
"Normanton, Nottinghamshire"
"Northallerton, North Riding of Yorkshire"
"Northumberland, England"
"Preston, Durham"
"River Tyne, United Kingdom"
"Selby, Yorkshire"
"Sherburn, Durham"
"Simonside, Durham"
"Skipwith, East Riding of Yorkshire"
"Spennymoor, Durham"
"Wolviston, Durham"
"Berwick, Lympne"
"Otterpoole, Kent"
"River Stour, Kent"
"Stanford, Kent"
"Burton-on-Trent, England"
"Horton, Shropshire"
"Malinslee, Shropshire"
"Brockton, Longford"
"Eyton-upon-the-wild-moors, Shropshire"
"Horton, Shropshire"
"Ingwardine, Shropshire"
"Lawley, Shropshire"
"Malinslee, Shropshire"
"Ruthall in Prior's Ditton, Shropshire"
"Sutton, Market Drayton"
"Chetton, Shropshire"
"Allerdale, Cumberland"
Bridekirk
"Allerdale, Cumberland"
Bridekirk
"Barnard Castle, Durham"
"Bolam, Durham"
"Carlisle, Cumberland"
"Denton, Durham"
"Gainford, Durham"
"Houghton-le-Side, Durham"
"Middleton-in-Teesdale, Durham"
"Stainton, Durham"
"Stockleigh, Durham"
"Hartlepool, Durham"
"Aislaby, Durham"
"Castle Eden, Durham"
"Hart, Durham"
"Hartlepool, Durham"
"Hartness, Durham"
"Seaton-Carew, Durham"
"Stranton, Durham"
"Trimdon, Durham"
"Boldron, North Riding of Yorkshire"
"Haverbrack, Westmorland"
"Lancashire, England"
"Lochmaben, Dumfriesshire"
"Teviotdale, Scotland"
"Aylestone, Leicestershire"
"Tong, Shropshire"
"Hereford, Herefordshire"
"Durham, England"
"Lincoln, Lincolnshire"
"Ireland, Europe"
"Treago Castle, Herefordshire"
"Monk Wearmouth, Durham"
"Caus, Shropshire"
"Mensterleye, Shropshire"
"Burton-Pedwardine, Lincolnshire"
"Clipston, Northamptonshire"
"Friskney, Lincolnshire"
"Kendal, Westmorland"
"South Warnborough, Hampshire"
"Great Musgrave, Westmorland"
"Blakesley, Northamptonshire"
"Castle Ashby, Northamptonshire"
"Greens Norton, Northamptonshire"
"Warkworth, Northumberland"
"Adderley, Shropshire"
"Arundel, Sussex"
"Ashford, Kent"
"Barton-in-the-Clay, Bedfordshire"
"Beechamwell, Norfolk"
"Binfield, Berkshire"
"Brandsburton, Yorkshire"
"Brington, Northant"
"Brundish, Suffolk"
"Chinnor, Oxfordshire"
"Corringham, Essex"
"Cottingham, Yorkshire"
"Crondall, Hampshire"
"Dronfield, Derbyshire"
"Fulbourne, Cambridgeshire"
"Hayes, Middlesex"
"Hellesdon, Norfolk"
"Hereford, Herefordshire"
"Higham Ferrers, Northamptonshire"
"Horsmonden, Kent"
"Kemsing, Kent"
"Lewknor, Oxfordshire"
"Lidgate, Suffolk"
"London, United Kingdom"
"North Mimms, Hertfordshire"
"Northfleet, Kent"
"Ockham, Surrey"
"Oulton, Suffolk"
"Rothwell, Northamptonshire"
"Salisbury, England"
"Saltwood, Kent"
"Sparsholt, Berkshire"
"Stanford-in-the-Vale, Berkshire "
"Stifford, Essex"
"Stoke in Teignhead, Devon "
"Wantage, Berkshire"
"Watton, Hertfordshire"
"Wensley, Yorkshire"
"West Hanney, Berkshire"
"Westminster, England"
"Winchester, England "
"Woodchurch, Kent"
"York, Yorkshire"
"Acton Burnell, Shropshire"
"Acton, Suffolk"
"Addington, Kent"
"Aldborough, Yorkshire"
"Audley, Staffordshire"
"Aveley, Essex"
"Bodiham, Sussex"
"Bowers Gifford, Essex"
"Bray, Berkshire"
"Buslingthorpe, Lincolnshire"
"Chartham, Kent"
"Chinnor, Oxfordshire"
"Cliffe Pipand, Wiltshire"
"Cobham, Kent"
"Croft, Lincolnshire"
"Draycott Cerne, Wiltshire"
"Drayton Beauchamp, Buckinghamshire"
"Elsing, Norfolk"
"Etchingham, Sussex"
"Felbrigg, Norfolk"
"Fletching, Sussex"
"Gorleston, Suffolk"
"Graveney, Kent"
"Great Berkhampstead, Hertfordshire"
"Harrow, Middlesex"
"Horseheath, Cambridgeshire"
"Letheringham, Suffolk"
"Minster in Sheppey, Kent"
"Pebmarsh, Essex"
"Rotherfield-Grays, Oxfordshire"
"Seal, Kent"
"Shopland, Essex"
"St Albans, England"
"Stoke d'Abernon, Surrey"
"Strensham, Worcestershire"
"Ticehurst, Sussex"
"Wanlip, Leicestershire"
"Watton, Hertfordshire"
"Westley -Waterless, Cambridgeshire"
"Wimbish, Essex"
"Wood Ditton, Cambridgeshire"
"Ashbury, Berkshire"
"Ashford, Kent"
"Boston, Lincolnshire"
"Brancepeth, Durham"
"Bristol, Gloucestershire"
"Broughton, Lincolnshire"
"Burford, Shropshire"
"Calbourne, Isle of Wight"
"Cheam, Surrey"
"Chinnor, Oxfordshire"
"Cliffe Pipand, Wiltshire"
"Clifton Campville, Staffordshire"
"Cobham, Kent ; Cople, Bedfordshire"
"Deddington, Oxfordshire"
"Grainthorp, Lincolnshire"
"Graveney, Kent"
"Great Berkhampstead, Hertfordshire"
"Halstow High, Kent"
"Hellesdon, Norfolk"
"Hereford, Herefordshire"
"Hildersham, Cambridgeshire"
"Irnham, Lincolnshire"
"King's Sombourn, Hampshire"
"Lingfield, Surrey"
"London, United Kingdom"
"Necton, Norfolk"
"Nuffield, Oxfordshire"
"Rusper, Sussex"
"Sherborne St John, Hampshire"
"Southacre, Norfolk"
"Spilsby, Lincolnshire"
"Stebbing, Essex"
"Stoke Fleming, Devon"
"Taplow, Buckinghamshire"
"Topcliffe, North Riding of Yorkshire"
"Trotton, Sussex ; Ware, Hertfordshire"
"Waterperry, Oxfordshire"
"Watford, Hertfordshire"
"Westminster, England"
"Winterbourne, Gloucestershire"
"Wotton-under-Edge, Gloucestershire"
"Wymington, Bedfordshire"
"Arundel, Sussex"
"Aspley Guise, Bedfordshire"
"Aylsham, Norfolk"
"Bampton, Oxfordshire"
"Battle, Sussex"
"Bottesford, Leicestershire"
"Bristol, Gloucestershire"
"Broxbourne, Hertfordshire"
"Chalfont St Giles, Buckinghamshire"
"Childrey, Berkshire"
"Cirencester, England"
"Cobham, Kent"
"Emberton, Buckinghamshire"
"Fakenham, Norfolk"
"Faversham, Kent"
"Fiskerton, Lincolnshire"
"Great Berkhampstead, Hertfordshire"
"Greenford, Middlesex "
"Haddenham, Buckinghamshire"
"Harrow, Middlesex"
"Hayes, Kent"
"Hereford, Herefordshire"
"Herne, Kent"
"Hoo, Kent"
"Houghton Regis, Bedfordshire"
"Laindon, Essex"
"Lewes, Sussex"
"Little Hadham, Hertfordshire"
"Luton, Bedfordshire"
"Poling, Sussex"
"Saffron Walden, Essex"
"South Creake, Norfolk"
"Southfleet, Kent"
"Sparham, Norfolk"
"St Albans, England"
"Stanford, Nottinghamshire"
"Stifford, Essex"
"Strethall, Essex"
"Thaxted, Essex"
"Upwell, counties Cambridgeshire and Norfolk"
"Wilshampstead, Bedfordshire"
"Worstead, Norfolk"
"Balsham, Cambridgeshire"
"Blisland, Cornwall"
"Boston, Lincolnshire"
"Broadwater, Sussex"
"Bromley Great, Essex"
"Buxted, Sussex"
"Cardinham, Cornwall"
"Chelsfield, Kent"
"Cheshunt, Hertfordshire"
"Compton Valence, Dorset"
"Cotterstock, Northamptonshire"
"Cowfold, Sussex"
"Cuckfield, Sussex"
"Flamstead, Hertfordshire"
"Great Leigh, Essex"
"Great Shelford, Cambridgeshire"
"Halvergate, Norfolk"
"Harlington, Middlesex"
"Havant, Hampshire"
"Hoo, Kent"
"Iden, Sussex"
"Ledbury, Herefordshire"
"Lingfield, Surrey"
"Longworth, Berkshire"
"Lydd, Kent"
"Lytchett-Maltravers, Dorset"
"Mawgan, Cornwall"
"Melton, Suffolk"
"Milton Keynes, Buckinghamshire"
"Monks Risborough, Buckinghamshire"
"Monkton, Kent"
"Plattenham, Surrey"
"Pulborough, Sussex"
"Ringwood, Hampshire"
"Royston, Hertfordshire"
"Sparsholt, Berkshire"
"Stone, Dartford"
"Tredington, Worcestershire"
"Turweston, Buckinghamshire"
"Walton-on-Trent, Derbyshire"
"Welford, Berkshire"
"West Tanfield, North Yorkshire"
"Whitchurch, Oxfordshire"
"Willian, Hertfordshire"
"Winchester, England"
"Woodford-cum-Membris, Northamptonshire"
"Yielden, Bedfordshire"
"Arundel, Sussex"
"Balsham, Cambridgeshire"
"Barningham, Suffolk"
"Beeford, Yorkshire"
"Blewberry, Berkshire"
"Brancepeth, Durham"
"Brightwell Salome, Oxfordshire"
"Bristol, Gloucestershire"
"Buckland, Hertfordshire"
"Byfleet, Surrey"
"Carlisle, Cumberland"
"Charlton on Otmoor, Oxfordshire"
"Cheriton, Kent"
"Chipping Warden, Northamptonshire"
"Chislehurst, Kent"
"Cirencester, England"
"Cowthorpe, West Riding of Yorkshire"
"Crowell, Oxfordshire"
"East Dereham, Norfolk"
"East Horsley, Surrey"
"Ewelme, Oxfordshire"
"Fladbury, Worcestershire"
"Fovant, Wiltshire"
"Fulbourne, Cambridgeshire"
"Great Hasely, Oxfordshire"
"Harrow, Middlesex"
"Hereford, Herefordshire"
"Hitchin, Hertfordshire"
"Leeds, Yorkshire"
"Lillingstone Dayrell, Buckinghamshire"
"Lingfield, Surrey"
"London, United Kingdom"
"Odiham, Hampshire"
"Pakefield, Suffolk"
"Ringstead, Norfolk"
"Shillington, Bedfordshire"
"Stamford, Lincolnshire"
"Surlingham, Norfolk"
"Tredington, Worcestershire"
"Upton Lovel, Wiltshire"
"West Harling, Norfolk"
"Westminster, England"
"Wilbraham, Cambridgeshire"
"Winchester, England"
"Yeovil, Somerset"
"Aldborough, Norfolk"
"Amberley, Sussex"
"Ashby St. Legers, Northamptonshire"
"Beddington, Surrey"
"Blickling, Norfolk"
"Burgate, Suffolk"
"Chalfont St Peter, Buckinghamshire"
"Cirencester, England"
"Clifton Reynes, Buckinghamshire"
"Cobham, Kent"
"Cople, Bedfordshire"
"Covenham St. Bartholomew, Lincolnshire"
"Digswell, Hertfordshire"
"Dodford, Northamptonshire"
"Felbrigg, Norfolk"
"Great Harrowden, Northamptonshire"
"Great Tew, Oxfordshire"
"Harpham, Yorkshire"
"Hatley St. George, Cambridgeshire"
"Hurstmonceaux, Sussex"
"Lingfield, Surrey"
"Meppershall, Bedfordshire"
"Oakwood, Surrey"
"Sawtry, Huntingdonshire"
"Sheldwick, Kent"
"Sonning, Berkshire"
"South Ockendon, Essex"
"St. Lawrence, Thanet"
"Stevington, Bedfordshire"
"Stoke by Neyland, Suffolk"
"Stradsett, Norfolk"
"Stratfield Mortimer, Buckinghamshire"
"Strensham, Worcestershire"
"Sundridge, Kent"
"Trotton, Sussex"
"Wandsworth, Surrey"
"Warkworth, Northumberland"
"Aldwinkle, Northamptonshire"
"Crowhurst, Surrey"
"Denham, Buckinghamshire"
"Edenhall, Cumberland"
"Great Cressingham, Norfolk"
"Hempstead, Essex ; Holton, Oxfordshire"
"Hoo, Kent"
"Ketteringham, Norfolk"
"Laughton, Lincolnshire"
"Ledbury, Herefordshire"
"London, United Kingdom"
"Marston Moretaine, Bedfordshire"
"Merstham, Surrey"
