Middle Littleton,Worcestershire,,,
North Littleton,Worcestershire,,,
Barton-on-the-Heath,Warwickshire,,,
Zennor,Cornwall,,,
Zeals,Mere,,,
Zeal Monachorum,Devon,,,
Yoxford,Suffolk,,,
Yoxall,Staffordshire,,,
"All Saints, Youlgreave",Derbyshire,,,
Yellegrave,Derbyshire,,,
Yolgrave,Derbyshire,,,
Yolgreave,Derbyshire,,,
Yolgreff,Derbyshire,,,
Yolgreve,Derbyshire,,,
Yolgreyve,Derbyshire,,,
Yollegrave,Derbyshire,,,
Yollgreve,Derbyshire,,,
Youlgreave,Derbyshire,,,
Yewbarrow,Cumbria,England,,
Yetminster,Dorset,,,
Yeovilton,Somerset,,,
Yeovil,Somerset,,,
Yeovil,Somerset,England,,
Yelverton,Norfolk,,,
Yelverton,Devon,,,
Yelvertoft,Northamptonshire,,,
Yelling,Huntingdonshire,,,
Yelford,Oxfordshire,,,
Yeaveley,Derbyshire,,,
Yvelee,Derbyshire,,,
Yealmpton,Devon,,,
Yaxley,Huntingdonshire,,,
Yaxley,Suffolk,,,
Yaxham,Norfolk,,,
Yatton Keynell,Wiltshire,,,
Yatesbury,Wiltshire,,,
Erdington al. Yarnton,Oxfordshire,,,
Yarnton,Oxfordshire,,,
Yarmouth,Isle of Wight,,,
Yarlington,Somerset,,,
Yardley Hastings,Northamptonshire,,,
Yapton,Sussex,,,
Yanworth,Gloucestershire,,,
Yalding,Kent,,,
Yafforth,North Riding of Yorkshire,,,
Wyverstone,Suffolk,,,
Wyton,Huntingdonshire,,,
Witton,Huntingdonshire,,,
Wysall,Nottinghamshire,,,
Wymondham,Leicestershire,,,
Wymondham,Norfolk,,,
Wimeswould,Leicestershire,,,
Wylye,Wiltshire,,,
Wyke Regis,Dorset,,,
Wykeham,North Riding of Yorkshire,,,
Wykeham,Yorkshire,,,
"Wye, River",Derbyshire,England,,
"Wye, River",Forest Of Dean,Gloucestershire,England,
"Wye, River",Powys,Wales,,
"Wye, River",Western Europe,,,
Wye,Kent,,,
Wyck Rissington,Gloucestershire,,,
Willaston,Wybunbury,,,
Wyberton,Lincolnshire,,,
Wroxton,Oxfordshire,,,
Wroxham,Norfolk,,,
Wroxeter,Shropshire,,,
Wrotham,Kent,,,
Writtle,Essex,,,
Wrestlingworth,Bedfordshire,,,
Wressell,East Riding of Yorkshire,,,
Wrentham,Suffolk,,,
Wrangle,Lincolnshire,,,
Wragby,Lincolnshire,,,
Wrabness,Essex,,,
Wouldham,Kent,,,
Wotton Underwood,Buckinghamshire,,,
Wotton,Buckinghamshire,England,,
Wotton (?),Surrey,,,
Wotton,Surrey,,,
Wotton,Surrey,United Kingdom,,
Worton,Wiltshire,,,
Worthing,Norfolk,,,
Worthing,Sussex,,,
Worthen,Shropshire,,,
Wortham,Suffolk,,,
Worth al. Word,Kent,,,
Worth,Kent,,,
Worth,Sussex,,,
Worstead,Norfolk,,,
Worplesdon,Surrey,,,
Wormshill,Kent,,,
Wormley,Hertfordshire,,,
Wormley,Hertfordshire,,,
Wormleighton,Warwickshire,,,
Wormington,Gloucestershire,,,
Worminghall,Buckinghamshire,,,
Wormingford,Essex,,,
Wormegay,Norfolk,,,
Worlingworth,Suffolk,,,
Worlington,Suffolk,,,
Worlingham,Suffolk,,,
Worksop,Nottinghamshire,,,
Workington,Cumberland,,,
Workington,Cumbria,England,"United Kingdom, Europe, Western Europe",
Worfield,Shropshire,,,
Wordwell,Suffolk,,,
Wootton Wawen,Warwickshire,,,
Wootton Rivers,Wiltshire,,,
Wootton Fitzpaine,Dorset,,,
Wootton Bassett,Wiltshire,,,
Wootton Bassett,Wiltshire,England,,
Wootton,Staffordshire,,,
Wootton,Northamptonshire,,,
Wootton,Oxfordshire,,,
Wootton,Kent,,,
Wootton,Isle of Wight,,,
Woolverton,Somerset,,,
Woolverstone,Suffolk,,,
Woolstaston,Shropshire,,,
Woolpit,Suffolk,,,
Woolland,Dorset,,,
Woolhope,Herefordshire,,,
Wooler,Northumberland,,,
Woolaston,Gloucestershire,,,
Wookey,Somerset,,,
Wood Walton,Huntingdonshire,,,
Woodton,Norfolk,,,
Woodstock,Oxfordshire,,,
Woodsford,Dorset,,,
Wood Norton,Norfolk,,,
Woodnewton,Northamptonshire,England,,
Woodmancote,Sussex,,,
Woodleigh,Devon,,,
Woodhurst,Huntingdonshire,,,
Woodhouse,Leicestershire,,,
Woodhorn,Northumberland,,,
Woodham Mortimer,Essex,,,
Woodham Ferrers,Essex,,,
Woodford,Northamptonshire,,,
Woodford,Northamptonshire,England,,
Woodford,Wiltshire,,,
Woodchurch,Kent,,,
Woodchester,Gloucestershire,,,
Woodbridge,Suffolk,,,
Woodborough,Nottinghamshire,,,
Woodborough,Wiltshire,,,
Wooburn,Buckinghamshire,,,
Wonston,Hampshire,,,
Wonersh,Surrey,,,
Wonastow,Monmouthshire,,,
Wombwell,West Riding of Yorkshire,,,
Wombourne,Staffordshire,,,
Wolvey,Warwickshire,,,
Wolverton,Buckinghamshire,,,
Wolverton,Hampshire,,,
Wolverley,Worcestershire,,,
Wolston,Warwickshire,,,
Wolstanton,Staffordshire,,,
Wollaston,Shropshire,,,
Wollaston,Northamptonshire,England,,
Wolf Rock,Cornwall,,,
Wolfhamcote,Warwickshire,,,
Wolferton,Norfolk,,,
Wold Newton,Yorkshire,,,
Woldingham,Surrey,,,
Woking,Surrey,,,
Woburn,Bedfordshire,,,
Wixford,Warwickshire,,,
Wix,Essex,,,
Wiveton,Norfolk,,,
Wivenhoe,Essex,,,
Wivelsfield,Sussex,,,
Wiveliscombe,Somerset,,,
Witton,Norfolk,,,
Wittersham,Kent,,,
Witney,Oxfordshire,,,
Witnesham,Suffolk,,,
Witley,Surrey,,,
Withyham,Sussex,,,
Withycombe,Somerset,,,
Withybrook,Warwickshire,,,
Withington,Shropshire,,,
Withington,Herefordshire,,,
Withington,Gloucestershire,,,
Withersfield,Suffolk,,,
Witheridge,Devon,,,
Withcote,Leicestershire,,,
Witham,Essex,,,
Witcham,Cambridgeshire,,,
Wistow,Hum,,,
Wistow,Huntingdonshire,,,
Wiston,Pembrokeshire,,,
Wistanstow,Shropshire,,,
Wiston,Suffolk,,,
Wissett,Suffolk,,,
Wishaw,Warwickshire,,,
Wisborough Green,Sussex,,,
Wisbech,Cambridgeshire,,,
Lee Breyche,Derbyshire,,,
Warkesworthe,Derbyshire,,,
Wiggewalle,Derbyshire,,,
Wiggewell,Derbyshire,,,
Wiggewelle,Derbyshire,,,
Wiggwall,Derbyshire,,,
"Wigwell Grange, Wirksworth",Derbyshire,,,
Wirkesworth,Derbyshire,,,
Wirkesworthe,Derbyshire,,,
Wirkeswrth,Derbyshire,,,
"Wirksworth, Wapentake of",Derbyshire,,,
Wirksworth,Derbyshire,,,
Wirksworth,Derbyshire,,,
Wirksworth,Derbyshire,England,,
Workesworth,Derbyshire,,,
Workesworthe,Derbyshire,,,
Wryrkyswurthe,Derbyshire,,,
Wygewelle,Derbyshire,,,
Wyggewell,Derbyshire,,,
Wyrcusworthe,Derbyshire,,,
Wyrkes,Derbyshire,,,
Wyrkesworth,Derbyshire,,,
Wyrkesworthe,Derbyshire,,,
Wyrkisworth,Derbyshire,,,
Wyrkseworth,Derbyshire,,,
Wyrkysworth,Derbyshire,,,
Wyrkyswurth,Derbyshire,,,
Winwick,Huntingdonshire,,,
Winthorpe,Lincolnshire,,,
Winterton,Norfolk,,,
Winterslow,Wiltshire,,,
Winterbourne Stoke,Wiltshire,,,
Winterbourne Monkton,Wiltshire,,,
Winterbourne Gunner,Wiltshire,,,
Winterbourne Earls,Wiltshire,,,
Winterbourne Bassett,Wiltshire,,,
Winterbourn,Berkshire,,,
Steepleton,Dorset,,,
Monkton,Dorset,,,
Winterborne Monkton,Dorset,,,
Winterborne Abbas,Dorset,,,
Wenster,Derbyshire,,,
Winster,Derbyshire,,,
Winster,Derbyshire,,,
Winstre,Derbyshire,,,
Wynster,Derbyshire,,,
Wynstre,Derbyshire,,,
Winson,Gloucestershire,,,
Winslow,Buckinghamshire,,,
Winsham,Somerset,,,
Winsford,Somerset,,,
Wingrave,Buckinghamshire,,,
Wingham,Kent,,,
Wingfield,Suffolk,,,
Wingfield,Wiltshire,,,
Winkfield,Wiltshire,,,
Wingerworth,Derbyshire,,,
Wingerworth,Derbyshire,,,
Wyngerworth,Derbyshire,,,
Wyngerworthe,Derbyshire,,,
Wyngreworth,Derbyshire,,,
Wing,Buckinghamshire,,,
Winestead,Yorkshire,,,
"Thames, River",Windsor,Windsor and Maidenhead,England,
Windrush,Gloucestershire,,,
Windlesham,Surrey,,,
"Windermere, Lake",Cumbria,England,,
Windermere,Westmorland,,,
Winchfield,Hampshire,,,
Winchester,Hampshire,,,
Romney Marsh,Winchelsea,East Sussex,England,"United Kingdom, Europe, Western Europe"
Winchelsea,East Sussex,England,,
Winchelsea,Romney Marsh,East Sussex,England,
Winchelsea,Sussex,,,
Winchcomb,Gloucestershire,,,
Wincanton,Somerset,,,
Wimborne Minster,Dorset,,,
Wimborne Minster,Dorset,England,,
Wimborne,Dorset,,,
Wimbish,Essex,,,
Wilton - on - the - Wye,Herefordshire,,,
Wilton,Herefordshire,,,
Wilton,Wiltshire,,,
Wilton,Somerset,,,
Wilsthorpe,Lincolnshire,,,
Wilmington,Kent,,,
Wilmington,Sussex,,,
Willoughton,Lincolnshire,,,
Willoughby-on-the-Wolds,Nottinghamshire,,,
Willoughby,Lincolnshire,,,
Willoughby,Warwickshire,,,
Williton,Somerset,,,
Willington,Derbyshire,,,
Willingham,Lincolnshire,,,
Willingham,Cambridgeshire,,,
Willingdon,Sussex,,,
Willingale Doe,Essex,,,
Willey,Shropshire,,,
Willey,Warwickshire,,,
Wilcot,Wiltshire,,,
Wilby,Norfolk,,,
Wilby,Suffolk,,,
Wilby,Northamptonshire,,,
Wilberfoss,East Riding of Yorkshire,,,
Wilbarston,Northamptonshire,,,
Wilbarston,Northamptonshire,England,,
Wigton,Cumberland,,,
Wigtoft,Lincolnshire,,,
Wigston,Leicestershire,,,
Wigston Magna,Leicestershire,,,
Wigmore,Herefordshire,,,
Wighton,Norfolk,,,
Isle of Wight,England,,,
Isle of Wight,England,,,
Isle of Wight,England,"United Kingdom, Europe, Western Europe",,
Wigginton,Staffordshire,,,
Wigginton,Oxfordshire,,,
Wigginton,Hertfordshire,,,
Widworthy,Devon,,,
Widmerpool,Nottinghamshire,,,
Widford,Hertfordshire,,,
Widford,Essex,,,
Widdrington,Northumberland,,,
Wickham Market,Suffolk,,,
Wickhambrook,Suffolk,,,
Wickham Bishops,Essex,,,
Wickham,Berkshire,,,
Wickham,Hampshire,,,
Wickford,Essex,,,
Wickenby,Lincolnshire,,,
Wicken,Cambridgeshire,,,
Wicken,Northamptonshire,,,
Wick,Caithness-shire,,,
Wick,Glamorganshire,,,
Wichnor,Staffordshire,,,
Whorlton al. Whorlton-in-Cleveland,North Riding of Yorkshire,,,
Whorlton,North Riding of Yorkshire,,,
Whitworth,Lancashire,,,
Whitwick,Leicestershire,,,
Whitwell,Derbyshire,,,
Whitwell,Norfolk,,,
Whitwell,Isle of Wight,,,
Whitton,Suffolk,,,
Whittlesey,Cambridgeshire,,,
Whittlebury,Northamptonshire,,,
Whittington,Lancashire,,,
Whittington,Derbyshire,,,
Whittington,Derbyshire,,,
Wytintone,Derbyshire,,,
Wyttyngton,Derbyshire,,,
Wytynton,Derbyshire,,,
Wytyntone,Derbyshire,,,
Whittington,Shropshire,,,
Whittington,Staffordshire,,,
Whittington,Gloucestershire,,,
Chubden,"Whittingham, Northumberland",,,
Cochrane Pike,"Whittingham, Northumberland",,,
Whittingham,Northumberland,,,
Whitstable,Kent,,,
Whitstable,Kent,England,,
Whitnash,Warwickshire,,,
Whitmore,Staffordshire,,,
Whitkirk,West Riding of Yorkshire,,,
Witherley,Leicestershire,,,
Whitgift,West Riding of Yorkshire,,,
Whitford,Flintshire,,,
Whitfield,Northamptonshire,,,
Whitfield al. Beauxfield,Kent,,,
Whitfield,Kent,,,
Whitestone,Devon,,,
White Roding,Essex,,,
Whiteparish,Wiltshire,,,
White Notley,Essex,,,
Whitehaven,Cumberland,,,
Whitcombe,Dorset,,,
Whitchurch Canonicorum,Dorset,,,
Whitchurch,Shropshire,,,
Whitchurch,Buckinghamshire,,,
Whitchurch,Herefordshire,,,
Whitchurch,Oxfordshire,,,
Whitchurch,Somerset,,,
Whitchurch,Hampshire,,,
Whitchurch,Warwickshire,,,
Whitby,North Riding of Yorkshire,,,
Whitby,North Yorkshire,England,,
Whiston,Northamptonshire,,,
Whissonsett,Norfolk,,,
Whipsnade,Bedfordshire,,,
